model,split_size,accuracy,precision,recall,f1
voting_clf,0.3,0.9523809523809523,0.9526068491912895,0.9523809523809523,0.9523583894586026
voting_clf,0.4,0.9333333333333333,0.9380471380471381,0.9333333333333333,0.9327060931899641
voting_clf,0.5,0.9466666666666667,0.9545679012345679,0.9466666666666667,0.9462603174603175
voting_clf,0.6,0.9833333333333333,0.9841666666666666,0.9833333333333333,0.9833089133089132
voting_clf,0.7,1.0,1.0,1.0,1.0
voting_clf,0.8,1.0,1.0,1.0,1.0
