split_size,model,accuracy,precision,recall,f1
0.3,svm_voting,0.9714285714285714,0.9738775510204081,0.9714285714285714,0.971387958168342
0.4,svm_voting,0.9888888888888889,0.9893004115226337,0.9888888888888889,0.9888962448048844
0.5,svm_voting,0.96,0.9646153846153845,0.96,0.9598291409587089
0.6,svm_voting,1.0,1.0,1.0,1.0
0.7,svm_voting,1.0,1.0,1.0,1.0
0.8,svm_voting,1.0,1.0,1.0,1.0
