,split_size,model,accuracy,precision,recall,f1
0,0.3,boosting_knn_2,0.9428571428571428,0.9516483516483516,0.9428571428571428,0.9422824302134647
1,0.3,boosting_knn_3,0.9333333333333333,0.945,0.9333333333333333,0.9324361131138349
2,0.3,boosting_knn_4,0.9142857142857143,0.9326530612244898,0.9142857142857143,0.9124155844155843
3,0.3,boosting_knn_5,0.9047619047619048,0.9269102990033222,0.9047619047619048,0.9022092267706303
4,0.4,boosting_knn_2,0.9444444444444444,0.9471618357487923,0.9444444444444444,0.9441098843909148
5,0.4,boosting_knn_3,0.9333333333333333,0.9380471380471381,0.9333333333333333,0.9327060931899641
6,0.4,boosting_knn_4,0.9333333333333333,0.9380471380471381,0.9333333333333333,0.9327060931899641
7,0.4,boosting_knn_5,0.9444444444444444,0.9471618357487923,0.9444444444444444,0.9441098843909148
8,0.5,boosting_knn_2,0.92,0.936551724137931,0.92,0.9186153846153847
9,0.5,boosting_knn_3,0.9333333333333333,0.9452380952380952,0.9333333333333333,0.9325362665391361
10,0.5,boosting_knn_4,0.92,0.936551724137931,0.92,0.9186153846153847
11,0.5,boosting_knn_5,0.92,0.936551724137931,0.92,0.9186153846153847
12,0.6,boosting_knn_2,0.95,0.950686274509804,0.95,0.9499267399267399
13,0.6,boosting_knn_3,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667
14,0.6,boosting_knn_4,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667
15,0.6,boosting_knn_5,1.0,1.0,1.0,1.0
16,0.7,boosting_knn_2,1.0,1.0,1.0,1.0
17,0.7,boosting_knn_3,1.0,1.0,1.0,1.0
18,0.7,boosting_knn_4,1.0,1.0,1.0,1.0
19,0.7,boosting_knn_5,1.0,1.0,1.0,1.0
20,0.8,boosting_knn_2,1.0,1.0,1.0,1.0
21,0.8,boosting_knn_3,1.0,1.0,1.0,1.0
22,0.8,boosting_knn_4,1.0,1.0,1.0,1.0
23,0.8,boosting_knn_5,1.0,1.0,1.0,1.0
